p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
double,128,128,128,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-41.2121,225.26679491996765,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128,-no-reorder,-a2av, , ,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-39.8664,226.7000367641449,polaris-gpu,16,64,4,True,0.0,0.0,1.0,5,4
double,128,128,128,-no-reorder, , , ,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-40.1985,228.66575407981873,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128, ,-a2av, , ,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-40.3663,229.9927008152008,polaris-gpu,16,64,4,True,0.0,0.0,1.0,5,4
double,128,128,128, ,-a2a,-p2p_pl, ,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-40.8179,232.04521989822388,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128,-no-reorder,-a2av, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-40.2728,233.3751392364502,polaris-gpu,16,64,4,True,0.0,0.0,0.75,5,4
double,128,128,128, , , ,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-40.3048,235.41697430610657,polaris-gpu,16,64,4,True,0.0,0.0,0.75,3,4
double,128,128,128, ,-a2av, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-40.3994,236.77537631988525,polaris-gpu,16,64,4,True,0.0,0.0,0.75,5,4
double,128,128,128, ,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,12,cufft,1.0,237.61086916923523,polaris-gpu,16,64,4,True,0.0,0.0,0.75,4,4
double,128,128,128,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-40.4515,240.14161443710327,polaris-gpu,16,64,4,True,0.0,0.0,0.0,4,4
double,128,128,128,-no-reorder,-a2a, , ,-r2c_dir 0,16 1 1,16 1 1,16,cufft,-31.2289,241.8379521369934,polaris-gpu,16,64,4,True,0.0,0.0,1.0,5,4
double,128,128,128, ,-a2a,-p2p_pl,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-38.8826,243.45097279548645,polaris-gpu,16,64,4,True,0.0,0.0,0.75,4,4
double,128,128,128,-no-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,12,cufft,1.0,243.72803616523743,polaris-gpu,16,64,4,True,0.0,0.0,0.75,2,4
double,128,128,128,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-29.878,245.21574211120605,polaris-gpu,16,64,4,True,0.0,0.0,0.75,5,4
double,128,128,128, ,-a2av, , ,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.5139,246.85198879241943,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
